Updates,Timesteps,FPS,reward_mean,reward_median,space_ratio,items_packed,loss_entropy,loss_value,loss_action,loss_infeasibility,popart_mean,popart_std,new_best_model
550,264000,923,0.49,0.49,0.552,35.30,2.0493,0.0016,-0.0220,0.0004,0.008,0.985,0
555,266400,923,0.54,0.54,0.561,35.90,1.4056,0.0035,-0.1068,0.0004,0.008,0.985,0
560,268800,924,0.56,0.56,0.562,36.00,1.1834,0.0080,0.0350,0.0004,0.008,0.985,0
565,271200,923,0.54,0.55,0.561,35.90,1.2239,0.0243,0.0233,0.0005,0.008,0.985,0
570,273600,925,0.51,0.52,0.559,35.80,1.1883,0.0016,-0.2826,0.0005,0.008,0.984,0
575,276000,923,0.53,0.53,0.559,35.80,0.9993,0.0094,0.1005,0.0005,0.008,0.984,0
580,278400,924,0.53,0.54,0.562,36.00,1.4195,0.0027,0.0994,0.0005,0.009,0.984,0
585,280800,924,0.54,0.54,0.562,36.00,1.5881,0.0216,0.0383,0.0005,0.009,0.984,0
590,283200,925,0.50,0.52,0.552,35.30,1.7779,0.0041,0.1994,0.0004,0.009,0.983,0
595,285600,925,0.53,0.54,0.559,35.80,1.6505,0.0159,-0.0880,0.0005,0.009,0.983,0
600,288000,925,0.53,0.54,0.556,35.60,1.5615,0.0024,0.1829,0.0005,0.009,0.983,0
605,290400,925,0.42,0.42,0.517,33.10,1.8402,0.0057,-0.3226,0.0005,0.009,0.983,0
610,292800,926,0.50,0.52,0.547,35.00,1.7503,0.0105,-0.2079,0.0005,0.009,0.983,0
615,295200,925,0.51,0.52,0.555,35.50,1.8558,0.0123,0.3227,0.0004,0.009,0.982,0
620,297600,926,0.54,0.55,0.561,35.90,1.5530,0.0079,0.2619,0.0005,0.009,0.982,0
625,300000,925,0.51,0.52,0.559,35.80,1.7392,0.0065,-0.5321,0.0005,0.010,0.982,0
630,302400,926,0.50,0.50,0.562,36.00,1.7278,0.0065,0.2507,0.0005,0.010,0.982,0
635,304800,926,0.49,0.49,0.558,35.70,1.6514,0.0041,0.1622,0.0005,0.010,0.981,0
640,307200,926,0.53,0.54,0.562,36.00,1.2737,0.0112,-0.1396,0.0005,0.010,0.981,0
645,309600,926,0.50,0.51,0.561,35.90,1.2367,0.0123,-0.3618,0.0005,0.010,0.981,0
650,312000,927,0.52,0.53,0.561,35.90,1.3160,0.0089,0.1194,0.0005,0.010,0.981,0
655,314400,926,0.53,0.53,0.562,36.00,1.3380,0.0415,-0.2037,0.0005,0.010,0.981,0
660,316800,928,0.54,0.54,0.561,35.90,1.4500,0.0245,0.3831,0.0005,0.010,0.980,0
665,319200,928,0.52,0.54,0.561,35.90,1.7734,0.0270,-0.0051,0.0004,0.011,0.980,0
670,321600,929,0.47,0.47,0.561,35.90,2.4726,0.0142,0.3916,0.0004,0.011,0.980,0
675,324000,928,0.30,0.29,0.528,33.80,4.2038,0.0064,-0.2201,0.0003,0.011,0.980,0
680,326400,929,0.29,0.30,0.519,33.20,4.4959,0.0047,-0.4095,0.0003,0.011,0.979,0
685,328800,928,0.49,0.50,0.558,35.70,2.7609,0.0066,0.4282,0.0003,0.011,0.979,0
690,331200,929,0.47,0.49,0.555,35.50,2.7261,0.0060,0.0635,0.0004,0.011,0.979,0
695,333600,928,0.45,0.47,0.548,35.10,2.5879,0.0083,0.0148,0.0004,0.011,0.979,0
700,336000,930,0.52,0.53,0.559,35.80,2.2293,0.0043,-0.0898,0.0004,0.011,0.979,0
705,338400,929,0.55,0.55,0.562,36.00,1.9351,0.0034,0.2249,0.0003,0.011,0.978,0
710,340800,929,0.55,0.55,0.562,36.00,1.3891,0.0061,-0.2285,0.0004,0.012,0.978,0
715,343200,927,0.56,0.56,0.562,36.00,1.4124,0.0056,-0.0586,0.0005,0.012,0.978,0
720,345600,929,0.56,0.56,0.562,36.00,1.1216,0.0042,0.0270,0.0005,0.012,0.978,0
725,348000,928,0.56,0.56,0.562,36.00,1.1802,0.0099,-0.0868,0.0005,0.012,0.978,0
730,350400,929,0.56,0.56,0.562,36.00,0.9637,0.0051,-0.1023,0.0005,0.012,0.977,0
735,352800,928,0.56,0.56,0.562,36.00,1.3637,0.0052,0.0737,0.0005,0.012,0.977,0
740,355200,929,0.56,0.56,0.562,36.00,1.0850,0.0044,0.2052,0.0004,0.012,0.977,0
745,357600,929,0.55,0.55,0.562,36.00,1.2816,0.0054,0.0065,0.0004,0.012,0.977,0
750,360000,930,0.54,0.55,0.562,36.00,1.4811,0.0029,-0.1087,0.0004,0.013,0.976,0
755,362400,929,0.53,0.53,0.562,36.00,1.8364,0.0080,0.0181,0.0004,0.013,0.976,0
760,364800,930,0.46,0.47,0.556,35.60,2.7938,0.0078,0.3924,0.0003,0.013,0.976,0
765,367200,929,0.43,0.42,0.555,35.50,3.3727,0.0040,0.2029,0.0003,0.013,0.976,0
770,369600,930,0.46,0.48,0.558,35.70,2.9998,0.0071,0.3519,0.0003,0.013,0.976,0
775,372000,930,0.46,0.48,0.556,35.60,3.1181,0.0065,0.0399,0.0003,0.013,0.975,0
780,374400,931,0.45,0.47,0.555,35.50,3.3346,0.0033,-0.0999,0.0003,0.013,0.975,0
785,376800,930,0.42,0.42,0.548,35.10,3.4302,0.0025,-0.4515,0.0003,0.013,0.975,0
790,379200,931,0.44,0.45,0.556,35.60,3.3932,0.0031,-0.5038,0.0003,0.013,0.975,0
795,381600,931,0.47,0.47,0.561,35.90,3.0460,0.0019,-0.0910,0.0003,0.013,0.974,0
800,384000,932,0.44,0.46,0.553,35.40,2.9761,0.0031,0.0736,0.0003,0.013,0.974,0
805,386400,931,0.46,0.47,0.558,35.70,2.8602,0.0048,-0.0883,0.0003,0.014,0.974,0
810,388800,932,0.50,0.50,0.562,36.00,2.4804,0.0013,-0.0775,0.0003,0.014,0.974,0
815,391200,931,0.50,0.52,0.561,35.90,2.2512,0.0014,-0.2121,0.0003,0.014,0.973,0
820,393600,932,0.52,0.52,0.562,36.00,2.0864,0.0020,0.0051,0.0004,0.014,0.973,0
825,396000,932,0.50,0.50,0.562,36.00,2.1900,0.0017,-0.1497,0.0004,0.014,0.973,0
830,398400,932,0.47,0.48,0.561,35.90,2.2987,0.0011,-0.1134,0.0004,0.014,0.973,0
835,400800,931,0.48,0.48,0.559,35.80,2.4424,0.0013,0.0114,0.0004,0.014,0.973,0
840,403200,932,0.51,0.51,0.562,36.00,2.0769,0.0018,0.0152,0.0004,0.014,0.972,0
845,405600,932,0.53,0.53,0.562,36.00,1.6413,0.0014,-0.1554,0.0004,0.015,0.972,0
850,408000,933,0.54,0.54,0.562,36.00,1.5497,0.0013,-0.2856,0.0004,0.015,0.972,0
855,410400,932,0.55,0.55,0.562,36.00,1.3439,0.0016,-0.1988,0.0004,0.015,0.972,0
860,412800,934,0.56,0.56,0.562,36.00,1.1947,0.0005,0.1209,0.0004,0.015,0.971,0
865,415200,933,0.55,0.54,0.562,36.00,1.2581,0.0006,0.0710,0.0004,0.015,0.971,0
870,417600,934,0.54,0.54,0.562,36.00,1.4148,0.0009,-0.2622,0.0004,0.015,0.971,0
875,420000,933,0.53,0.53,0.562,36.00,1.1749,0.0005,-0.1511,0.0004,0.015,0.971,0
880,422400,934,0.54,0.55,0.561,35.90,1.2426,0.0009,-0.1313,0.0004,0.015,0.971,0
885,424800,934,0.51,0.52,0.564,36.10,1.6262,0.0014,-0.0596,0.0005,0.016,0.970,1
890,427200,935,0.51,0.51,0.562,36.00,1.7433,0.0013,-0.0866,0.0005,0.016,0.970,0
895,429600,934,0.52,0.52,0.562,36.00,1.5041,0.0009,-0.0126,0.0005,0.016,0.970,0
900,432000,935,0.53,0.53,0.562,36.00,1.3662,0.0009,-0.3219,0.0005,0.016,0.970,0
905,434400,934,0.53,0.53,0.562,36.00,1.3166,0.0006,-0.2827,0.0005,0.016,0.969,0
910,436800,935,0.54,0.55,0.562,36.00,1.1888,0.0006,-0.2038,0.0005,0.016,0.969,0
