update_step,total_timesteps,mean_reward,median_reward,mean_space_ratio,mean_items_packed,entropy_loss,value_loss,action_loss,infeasibility_loss
130,31200,0.5000000037252903,0.5000000037252903,0.5,13.5,2.8011717796325684,0.007310907356441021,-0.016985956579446793,0.004738011863082647
135,32400,0.588888893276453,0.555555559694767,0.5888888888888888,15.9,2.7362325191497803,0.008649501949548721,0.0007043838268145919,0.008504586294293404
140,33600,0.5666666708886623,0.5185185223817825,0.5666666666666667,15.3,2.7768800258636475,0.01219138689339161,-0.0617898628115654,0.008297950029373169
145,34800,0.5814814858138562,0.6296296343207359,0.5814814814814815,15.7,2.761639356613159,0.011136229149997234,-0.04977407306432724,0.008138381876051426
150,36000,0.5333333373069763,0.5000000037252903,0.5333333333333334,14.4,2.7648377418518066,0.01226833090186119,-0.034057315438985825,0.0073686689138412476
155,37200,0.6000000044703484,0.5925925970077515,0.6,16.2,2.720175266265869,0.008462818339467049,0.022563457489013672,0.007249942049384117
160,38400,0.6481481529772282,0.6111111156642437,0.6481481481481481,17.5,2.720986843109131,0.005714903585612774,-0.09678257256746292,0.009822862222790718
165,39600,0.6370370417833329,0.5925925970077515,0.637037037037037,17.2,2.614057779312134,0.008886906318366528,-0.053498219698667526,0.008770105428993702
170,40800,0.7333333387970924,0.7222222276031971,0.7333333333333333,19.8,2.5862362384796143,0.0073459576815366745,-0.08213526755571365,0.009745395742356777
175,42000,0.6148148193955422,0.6296296343207359,0.6148148148148148,16.6,2.5913546085357666,0.010893174447119236,0.09225653111934662,0.005200470797717571
180,43200,0.5851851895451545,0.5925925970077515,0.5851851851851853,15.8,2.5890016555786133,0.010760532692074776,-0.038072872906923294,0.005154697690159082
185,44400,0.6703703753650189,0.6481481529772282,0.6703703703703703,18.1,2.4714198112487793,0.009022065438330173,-0.06800022721290588,0.008161088451743126
190,45600,0.6407407455146312,0.6111111156642437,0.6407407407407406,17.3,2.530759334564209,0.003770618699491024,-0.05318300426006317,0.004318915773183107
195,46800,0.6592592641711235,0.7037037089467049,0.6592592592592592,17.8,2.480260133743286,0.004958186764270067,-0.026265621185302734,0.006163990590721369
200,48000,0.6037037082016468,0.555555559694767,0.6037037037037037,16.3,2.5092058181762695,0.006399550009518862,-0.07643231004476547,0.007082623895257711
